case_id,scenario_id,language_code,domain,query,expected_vocal,expected_script,stable,translation_review_status,translation_reviewer,status,http_status,graph_status,latency_seconds,error,routing_pass,plan_pass,plan_reason,language_pass,language_reason,testing_disclaimer_present,testing_disclaimer_at_bottom,two_hr_disclaimer_present,disclaimer_pass,disclaimer_reason,lang_switch_detected,lang_switch_reason,terminology_pass,terminology_reason,source_attribution_pass,source_attribution_reason,response_text
ML-S02-PA,S02,PA,Plant Protection,How do I treat yellow rust disease in wheat in Haryana?,Punjabi,Gurmukhi,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"ਇਹ ਇੱਕ ਟੈਸਟ ਜਵਾਬ ਹੈ। [MOCK RESPONSE for ML-S02-PA] Domain: Plant Protection. Query language: Punjabi. [Mock agri content covers: yellow rust, fungicide, wheat]
⚠️ ਮਹੱਤਵਪੂਰਨ ਸੂਚਨਾ (ਟੈਸਟਿੰਗ) ⚠️

ਇਹ AjraSakha ਐਪਲੀਕੇਸ਼ਨ ਵਿਕਾਸ ਅਧੀਨ ਹੈ ਅਤੇ ਸਿਰਫ਼ ਟੈਸਟਿੰਗ ਅਤੇ ਪ੍ਰਮਾਣਿਕਤਾ ਲਈ ਹੈ।
ਸਲਾਹਾਂ ਪ੍ਰਯੋਗਾਤਮਕ ਹਨ ਅਤੇ ਇਸ ਵੇ"
ML-S02-TE,S02,TE,Plant Protection,How do I treat yellow rust disease in wheat in Haryana?,Telugu,Telugu,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"ఇది ఒక పరీక్ష సమాధానం. [MOCK RESPONSE for ML-S02-TE] Domain: Plant Protection. Query language: Telugu. [Mock agri content covers: yellow rust, fungicide, wheat]
⚠️ ముఖ్యమైన నోటీసు (పరీక్షా దశ) ⚠️

ఈ AjraSakha అప్లికేషన్ అభివృద్ధిలో ఉంది మరియు కేవలం పరీక్ష మరియు ధృవీకరణ కోసం మాత్రమే ఉద్దేశించబడింది.
"
ML-S03-EN,S03,EN,Nutrient Management,What is the recommended fertilizer dose for rice in Andhra Pradesh?,English,English,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"[MOCK RESPONSE for ML-S03-EN] Domain: Nutrient Management. Query language: English. [Mock agri content covers: nitrogen, fertilizer, rice]
⚠️ Important Notice (Testing) ⚠️

This AjraSakha application is under development and intended only for testing and validation.
Advisories are experimental and c"
ML-S03-HI,S03,HI,Nutrient Management,What is the recommended fertilizer dose for rice in Andhra Pradesh?,Hindi,Devanagari,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"यह एक परीक्षण उत्तर है। [MOCK RESPONSE for ML-S03-HI] Domain: Nutrient Management. Query language: Hindi. [Mock agri content covers: nitrogen, fertilizer, rice]
⚠️ महत्वपूर्ण सूचना (परीक्षण) ⚠️

यह AjraSakha एप्लिकेशन विकास के अधीन है और केवल परीक्षण और सत्यापन के लिए है।
सलाहें प्रयोगात्मक हैं और व"
ML-S03-KN,S03,KN,Nutrient Management,What is the recommended fertilizer dose for rice in Andhra Pradesh?,Kannada,Kannada,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"ಇದು ಒಂದು ಪರೀಕ್ಷಾ ಉತ್ತರ. [MOCK RESPONSE for ML-S03-KN] Domain: Nutrient Management. Query language: Kannada. [Mock agri content covers: nitrogen, fertilizer, rice]
⚠️ ಮಹತ್ವದ ಸೂಚನೆ (ಪರೀಕ್ಷಾ ಹಂತ) ⚠️

ಈ AjraSakha ಅಪ್ಲಿಕೇಶನ್ ಅಭಿವೃದ್ಧಿ ಹಂತದಲ್ಲಿದ್ದು, ಕೇವಲ ಪರೀಕ್ಷೆ ಮತ್ತು ಮೌಲ್ಯಮಾಪನಕ್ಕಾಗಿ ಮಾತ್ರ ಉದ್ದೇಶಿಸಲಾಗಿದೆ."
ML-S03-TA,S03,TA,Nutrient Management,What is the recommended fertilizer dose for rice in Andhra Pradesh?,Tamil,Tamil,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"இது ஒரு சோதனை பதில். [MOCK RESPONSE for ML-S03-TA] Domain: Nutrient Management. Query language: Tamil. [Mock agri content covers: nitrogen, fertilizer, rice]
⚠️ முக்கியமான அறிவிப்பு (சோதனை) ⚠️

இந்த AjraSakha பயன்பாடு மேம்பாட்டில் உள்ளது மற்றும் சோதனை மற்றும் சரிபார்ப்புக்காக மட்டுமே நோக்கப்பட்டுள்ள"
ML-S03-PA,S03,PA,Nutrient Management,What is the recommended fertilizer dose for rice in Andhra Pradesh?,Punjabi,Gurmukhi,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"ਇਹ ਇੱਕ ਟੈਸਟ ਜਵਾਬ ਹੈ। [MOCK RESPONSE for ML-S03-PA] Domain: Nutrient Management. Query language: Punjabi. [Mock agri content covers: nitrogen, fertilizer, rice]
⚠️ ਮਹੱਤਵਪੂਰਨ ਸੂਚਨਾ (ਟੈਸਟਿੰਗ) ⚠️

ਇਹ AjraSakha ਐਪਲੀਕੇਸ਼ਨ ਵਿਕਾਸ ਅਧੀਨ ਹੈ ਅਤੇ ਸਿਰਫ਼ ਟੈਸਟਿੰਗ ਅਤੇ ਪ੍ਰਮਾਣਿਕਤਾ ਲਈ ਹੈ।
ਸਲਾਹਾਂ ਪ੍ਰਯੋਗਾਤਮਕ ਹਨ ਅਤੇ ਇਸ ਵੇ"
ML-S03-TE,S03,TE,Nutrient Management,What is the recommended fertilizer dose for rice in Andhra Pradesh?,Telugu,Telugu,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"ఇది ఒక పరీక్ష సమాధానం. [MOCK RESPONSE for ML-S03-TE] Domain: Nutrient Management. Query language: Telugu. [Mock agri content covers: nitrogen, fertilizer, rice]
⚠️ ముఖ్యమైన నోటీసు (పరీక్షా దశ) ⚠️

ఈ AjraSakha అప్లికేషన్ అభివృద్ధిలో ఉంది మరియు కేవలం పరీక్ష మరియు ధృవీకరణ కోసం మాత్రమే ఉద్దేశించబడింది.
"
ML-S04-EN,S04,EN,Varieties,Which cotton varieties are best suited for Maharashtra?,English,English,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"[MOCK RESPONSE for ML-S04-EN] Domain: Varieties. Query language: English. [Mock agri content covers: cotton, variety, hybrid]
⚠️ Important Notice (Testing) ⚠️

This AjraSakha application is under development and intended only for testing and validation.
Advisories are experimental and currently cove"
ML-S04-HI,S04,HI,Varieties,Which cotton varieties are best suited for Maharashtra?,Hindi,Devanagari,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"यह एक परीक्षण उत्तर है। [MOCK RESPONSE for ML-S04-HI] Domain: Varieties. Query language: Hindi. [Mock agri content covers: cotton, variety, hybrid]
⚠️ महत्वपूर्ण सूचना (परीक्षण) ⚠️

यह AjraSakha एप्लिकेशन विकास के अधीन है और केवल परीक्षण और सत्यापन के लिए है।
सलाहें प्रयोगात्मक हैं और वर्तमान में चु"
ML-S04-KN,S04,KN,Varieties,Which cotton varieties are best suited for Maharashtra?,Kannada,Kannada,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"ಇದು ಒಂದು ಪರೀಕ್ಷಾ ಉತ್ತರ. [MOCK RESPONSE for ML-S04-KN] Domain: Varieties. Query language: Kannada. [Mock agri content covers: cotton, variety, hybrid]
⚠️ ಮಹತ್ವದ ಸೂಚನೆ (ಪರೀಕ್ಷಾ ಹಂತ) ⚠️

ಈ AjraSakha ಅಪ್ಲಿಕೇಶನ್ ಅಭಿವೃದ್ಧಿ ಹಂತದಲ್ಲಿದ್ದು, ಕೇವಲ ಪರೀಕ್ಷೆ ಮತ್ತು ಮೌಲ್ಯಮಾಪನಕ್ಕಾಗಿ ಮಾತ್ರ ಉದ್ದೇಶಿಸಲಾಗಿದೆ.
ಸಲಹೆಗಳು ಪ್ರಾ"
ML-S04-TA,S04,TA,Varieties,Which cotton varieties are best suited for Maharashtra?,Tamil,Tamil,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"இது ஒரு சோதனை பதில். [MOCK RESPONSE for ML-S04-TA] Domain: Varieties. Query language: Tamil. [Mock agri content covers: cotton, variety, hybrid]
⚠️ முக்கியமான அறிவிப்பு (சோதனை) ⚠️

இந்த AjraSakha பயன்பாடு மேம்பாட்டில் உள்ளது மற்றும் சோதனை மற்றும் சரிபார்ப்புக்காக மட்டுமே நோக்கப்பட்டுள்ளது.
ஆலோசனைகள்"
ML-S04-PA,S04,PA,Varieties,Which cotton varieties are best suited for Maharashtra?,Punjabi,Gurmukhi,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"ਇਹ ਇੱਕ ਟੈਸਟ ਜਵਾਬ ਹੈ। [MOCK RESPONSE for ML-S04-PA] Domain: Varieties. Query language: Punjabi. [Mock agri content covers: cotton, variety, hybrid]
⚠️ ਮਹੱਤਵਪੂਰਨ ਸੂਚਨਾ (ਟੈਸਟਿੰਗ) ⚠️

ਇਹ AjraSakha ਐਪਲੀਕੇਸ਼ਨ ਵਿਕਾਸ ਅਧੀਨ ਹੈ ਅਤੇ ਸਿਰਫ਼ ਟੈਸਟਿੰਗ ਅਤੇ ਪ੍ਰਮਾਣਿਕਤਾ ਲਈ ਹੈ।
ਸਲਾਹਾਂ ਪ੍ਰਯੋਗਾਤਮਕ ਹਨ ਅਤੇ ਇਸ ਵੇਲੇ ਚੁਣੇ ਹੋਏ ਰ"
ML-S04-TE,S04,TE,Varieties,Which cotton varieties are best suited for Maharashtra?,Telugu,Telugu,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"ఇది ఒక పరీక్ష సమాధానం. [MOCK RESPONSE for ML-S04-TE] Domain: Varieties. Query language: Telugu. [Mock agri content covers: cotton, variety, hybrid]
⚠️ ముఖ్యమైన నోటీసు (పరీక్షా దశ) ⚠️

ఈ AjraSakha అప్లికేషన్ అభివృద్ధిలో ఉంది మరియు కేవలం పరీక్ష మరియు ధృవీకరణ కోసం మాత్రమే ఉద్దేశించబడింది.
సలహాలు ప్రయోగ"
ML-S05-EN,S05,EN,Water Management,What is the irrigation schedule for sugarcane in Tamil Nadu?,English,English,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"[MOCK RESPONSE for ML-S05-EN] Domain: Water Management. Query language: English. [Mock agri content covers: sugarcane, irrigation, water]
⚠️ Important Notice (Testing) ⚠️

This AjraSakha application is under development and intended only for testing and validation.
Advisories are experimental and cu"
ML-S05-HI,S05,HI,Water Management,What is the irrigation schedule for sugarcane in Tamil Nadu?,Hindi,Devanagari,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"यह एक परीक्षण उत्तर है। [MOCK RESPONSE for ML-S05-HI] Domain: Water Management. Query language: Hindi. [Mock agri content covers: sugarcane, irrigation, water]
⚠️ महत्वपूर्ण सूचना (परीक्षण) ⚠️

यह AjraSakha एप्लिकेशन विकास के अधीन है और केवल परीक्षण और सत्यापन के लिए है।
सलाहें प्रयोगात्मक हैं और वर"
ML-S05-KN,S05,KN,Water Management,What is the irrigation schedule for sugarcane in Tamil Nadu?,Kannada,Kannada,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"ಇದು ಒಂದು ಪರೀಕ್ಷಾ ಉತ್ತರ. [MOCK RESPONSE for ML-S05-KN] Domain: Water Management. Query language: Kannada. [Mock agri content covers: sugarcane, irrigation, water]
⚠️ ಮಹತ್ವದ ಸೂಚನೆ (ಪರೀಕ್ಷಾ ಹಂತ) ⚠️

ಈ AjraSakha ಅಪ್ಲಿಕೇಶನ್ ಅಭಿವೃದ್ಧಿ ಹಂತದಲ್ಲಿದ್ದು, ಕೇವಲ ಪರೀಕ್ಷೆ ಮತ್ತು ಮೌಲ್ಯಮಾಪನಕ್ಕಾಗಿ ಮಾತ್ರ ಉದ್ದೇಶಿಸಲಾಗಿದೆ.
"
ML-S05-TA,S05,TA,Water Management,What is the irrigation schedule for sugarcane in Tamil Nadu?,Tamil,Tamil,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"இது ஒரு சோதனை பதில். [MOCK RESPONSE for ML-S05-TA] Domain: Water Management. Query language: Tamil. [Mock agri content covers: sugarcane, irrigation, water]
⚠️ முக்கியமான அறிவிப்பு (சோதனை) ⚠️

இந்த AjraSakha பயன்பாடு மேம்பாட்டில் உள்ளது மற்றும் சோதனை மற்றும் சரிபார்ப்புக்காக மட்டுமே நோக்கப்பட்டுள்ளத"
ML-S05-PA,S05,PA,Water Management,What is the irrigation schedule for sugarcane in Tamil Nadu?,Punjabi,Gurmukhi,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"ਇਹ ਇੱਕ ਟੈਸਟ ਜਵਾਬ ਹੈ। [MOCK RESPONSE for ML-S05-PA] Domain: Water Management. Query language: Punjabi. [Mock agri content covers: sugarcane, irrigation, water]
⚠️ ਮਹੱਤਵਪੂਰਨ ਸੂਚਨਾ (ਟੈਸਟਿੰਗ) ⚠️

ਇਹ AjraSakha ਐਪਲੀਕੇਸ਼ਨ ਵਿਕਾਸ ਅਧੀਨ ਹੈ ਅਤੇ ਸਿਰਫ਼ ਟੈਸਟਿੰਗ ਅਤੇ ਪ੍ਰਮਾਣਿਕਤਾ ਲਈ ਹੈ।
ਸਲਾਹਾਂ ਪ੍ਰਯੋਗਾਤਮਕ ਹਨ ਅਤੇ ਇਸ ਵੇਲ"
ML-S05-TE,S05,TE,Water Management,What is the irrigation schedule for sugarcane in Tamil Nadu?,Telugu,Telugu,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"ఇది ఒక పరీక్ష సమాధానం. [MOCK RESPONSE for ML-S05-TE] Domain: Water Management. Query language: Telugu. [Mock agri content covers: sugarcane, irrigation, water]
⚠️ ముఖ్యమైన నోటీసు (పరీక్షా దశ) ⚠️

ఈ AjraSakha అప్లికేషన్ అభివృద్ధిలో ఉంది మరియు కేవలం పరీక్ష మరియు ధృవీకరణ కోసం మాత్రమే ఉద్దేశించబడింది.
స"
ML-S06-EN,S06,EN,Organic Farming,How to grow tomatoes using organic methods in Karnataka?,English,English,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"[MOCK RESPONSE for ML-S06-EN] Domain: Organic Farming. Query language: English. [Mock agri content covers: tomato, organic, compost]
⚠️ Important Notice (Testing) ⚠️

This AjraSakha application is under development and intended only for testing and validation.
Advisories are experimental and current"
ML-S06-HI,S06,HI,Organic Farming,How to grow tomatoes using organic methods in Karnataka?,Hindi,Devanagari,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"यह एक परीक्षण उत्तर है। [MOCK RESPONSE for ML-S06-HI] Domain: Organic Farming. Query language: Hindi. [Mock agri content covers: tomato, organic, compost]
⚠️ महत्वपूर्ण सूचना (परीक्षण) ⚠️

यह AjraSakha एप्लिकेशन विकास के अधीन है और केवल परीक्षण और सत्यापन के लिए है।
सलाहें प्रयोगात्मक हैं और वर्तमान"
ML-S06-KN,S06,KN,Organic Farming,How to grow tomatoes using organic methods in Karnataka?,Kannada,Kannada,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"ಇದು ಒಂದು ಪರೀಕ್ಷಾ ಉತ್ತರ. [MOCK RESPONSE for ML-S06-KN] Domain: Organic Farming. Query language: Kannada. [Mock agri content covers: tomato, organic, compost]
⚠️ ಮಹತ್ವದ ಸೂಚನೆ (ಪರೀಕ್ಷಾ ಹಂತ) ⚠️

ಈ AjraSakha ಅಪ್ಲಿಕೇಶನ್ ಅಭಿವೃದ್ಧಿ ಹಂತದಲ್ಲಿದ್ದು, ಕೇವಲ ಪರೀಕ್ಷೆ ಮತ್ತು ಮೌಲ್ಯಮಾಪನಕ್ಕಾಗಿ ಮಾತ್ರ ಉದ್ದೇಶಿಸಲಾಗಿದೆ.
ಸಲಹೆಗ"
ML-S06-TA,S06,TA,Organic Farming,How to grow tomatoes using organic methods in Karnataka?,Tamil,Tamil,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"இது ஒரு சோதனை பதில். [MOCK RESPONSE for ML-S06-TA] Domain: Organic Farming. Query language: Tamil. [Mock agri content covers: tomato, organic, compost]
⚠️ முக்கியமான அறிவிப்பு (சோதனை) ⚠️

இந்த AjraSakha பயன்பாடு மேம்பாட்டில் உள்ளது மற்றும் சோதனை மற்றும் சரிபார்ப்புக்காக மட்டுமே நோக்கப்பட்டுள்ளது.
ஆல"
ML-S06-PA,S06,PA,Organic Farming,How to grow tomatoes using organic methods in Karnataka?,Punjabi,Gurmukhi,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"ਇਹ ਇੱਕ ਟੈਸਟ ਜਵਾਬ ਹੈ। [MOCK RESPONSE for ML-S06-PA] Domain: Organic Farming. Query language: Punjabi. [Mock agri content covers: tomato, organic, compost]
⚠️ ਮਹੱਤਵਪੂਰਨ ਸੂਚਨਾ (ਟੈਸਟਿੰਗ) ⚠️

ਇਹ AjraSakha ਐਪਲੀਕੇਸ਼ਨ ਵਿਕਾਸ ਅਧੀਨ ਹੈ ਅਤੇ ਸਿਰਫ਼ ਟੈਸਟਿੰਗ ਅਤੇ ਪ੍ਰਮਾਣਿਕਤਾ ਲਈ ਹੈ।
ਸਲਾਹਾਂ ਪ੍ਰਯੋਗਾਤਮਕ ਹਨ ਅਤੇ ਇਸ ਵੇਲੇ ਚੁਣ"
ML-S06-TE,S06,TE,Organic Farming,How to grow tomatoes using organic methods in Karnataka?,Telugu,Telugu,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"ఇది ఒక పరీక్ష సమాధానం. [MOCK RESPONSE for ML-S06-TE] Domain: Organic Farming. Query language: Telugu. [Mock agri content covers: tomato, organic, compost]
⚠️ ముఖ్యమైన నోటీసు (పరీక్షా దశ) ⚠️

ఈ AjraSakha అప్లికేషన్ అభివృద్ధిలో ఉంది మరియు కేవలం పరీక్ష మరియు ధృవీకరణ కోసం మాత్రమే ఉద్దేశించబడింది.
సలహాలు"
ML-S07-EN,S07,EN,Seeds,What is the seed treatment procedure for mustard in Rajasthan?,English,English,True,pending,,FAIL,200,success,0.01,,True,True,,True,,True,True,False,False,2-hour disclaimer missing,False,,True,,False,GDB response missing source attribution,"[MOCK RESPONSE for ML-S07-EN] Domain: Seeds. Query language: English. [Mock agri content covers: mustard, seed treatment, fungicide]
⚠️ Important Notice (Testing) ⚠️

This AjraSakha application is under development and intended only for testing and validation.
Advisories are experimental and current"
