name,query,expected_tools,observed_tools,http_status,graph_status,latency_seconds,response_text,observed_gdb_entry_id,error,technical_pass,routing_pass,tool_pass,trace_url,trace_available,expected_nodes,observed_nodes,node_pass,node_reason,expected_domain,observed_domain,expected_plan,observed_plan,plan_pass,plan_reason,answer_quality_enabled,answerrelevancymetric_score,answerrelevancymetric_passed,answerrelevancymetric_reason,source_check_required,source_attribution_pass,source_attribution_reason,disclaimer_required,testing_disclaimer_present,testing_disclaimer_at_bottom,two_hr_disclaimer_required,two_hr_disclaimer_present,language_required,language_pass,disclaimer_language_pass,disclaimer_language_reason,language_code,language,expected_script,domain,scenario_id,answer_language_pass,language_switching_pass,gdb_entry_pass,term_translation_pass,language_quality_pass,language_quality_reason,failure_reason,triage_category,triage_action,severity
weather_forecast_delhi_pa,ਅਗਲੇ ਕੁਝ ਦਿਨਾਂ ਲਈ ਦਿੱਲੀ ਦਾ ਮੌਸਮ ਅਨੁਮਾਨ ਕੀ ਹੈ?,"upload_question_to_reviewer_system,weather","upload_question_to_reviewer_system,weather",200,success,0.0,"ਅਗਲੇ ਕੁਝ ਦਿਨਾਂ ਲਈ ਦਿੱਲੀ ਦਾ ਮੌਸਮ ਅਨੁਮਾਨ ਕੀ ਹੈ?
ਮਾਹਰ: ਇਹ ਮੁਲਾਂਕਣ ਲਈ ਨਮੂਨਾ ਜਵਾਬ ਹੈ।",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,weather,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,pa,Punjabi,Gurmukhi,weather,weather_forecast_delhi,True,True,True,True,True,,,passed,no_action,
weather_forecast_delhi_te,రాబోయే కొన్ని రోజుల ఢిల్లీ వాతావరణ సూచన ఏమిటి?,"upload_question_to_reviewer_system,weather","upload_question_to_reviewer_system,weather",200,success,0.0,"రాబోయే కొన్ని రోజుల ఢిల్లీ వాతావరణ సూచన ఏమిటి?
నిపుణుడు: ఇది మూల్యాంకనం కోసం నమూనా సమాధానం.",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,weather,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,te,Telugu,Telugu,weather,weather_forecast_delhi,True,True,True,True,True,,,passed,no_action,
market_wheat_sirsa_en,"What is the price of wheat in Sirsa mandi, Haryana?","market,upload_question_to_reviewer_system","market,upload_question_to_reviewer_system",200,success,0.0,"What is the price of wheat in Sirsa mandi, Haryana?
expert: This is a mock answer for evaluation.",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,market,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,en,English,Latin,market,market_wheat_sirsa,True,True,True,True,True,,,passed,no_action,
market_wheat_sirsa_hi,हरियाणा की सिरसा मंडी में गेहूं का भाव क्या है?,"market,upload_question_to_reviewer_system","market,upload_question_to_reviewer_system",200,success,0.0,"हरियाणा की सिरसा मंडी में गेहूं का भाव क्या है?
विशेषज्ञ: यह मूल्यांकन के लिए नमूना उत्तर है।",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,market,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,hi,Hindi,Devanagari,market,market_wheat_sirsa,True,True,True,True,True,,,passed,no_action,
market_wheat_sirsa_kn,ಹರಿಯಾಣದ ಸಿರ್ಸಾ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಗೋಧಿಯ ಬೆಲೆ ಎಷ್ಟು?,"market,upload_question_to_reviewer_system","market,upload_question_to_reviewer_system",200,success,0.0,"ಹರಿಯಾಣದ ಸಿರ್ಸಾ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಗೋಧಿಯ ಬೆಲೆ ಎಷ್ಟು?
ತಜ್ಞ: ಇದು ಮೌಲ್ಯಮಾಪನಕ್ಕಾಗಿ ಮಾದರಿ ಉತ್ತರವಾಗಿದೆ.",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,market,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,kn,Kannada,Kannada,market,market_wheat_sirsa,True,True,True,True,True,,,passed,no_action,
market_wheat_sirsa_ta,ஹரியானாவின் சிர்சா சந்தையில் கோதுமை விலை என்ன?,"market,upload_question_to_reviewer_system","market,upload_question_to_reviewer_system",200,success,0.0,"ஹரியானாவின் சிர்சா சந்தையில் கோதுமை விலை என்ன?
நிபுணர்: இது மதிப்பீட்டிற்கான மாதிரி பதில்.",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,market,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,ta,Tamil,Tamil,market,market_wheat_sirsa,True,True,True,True,True,,,passed,no_action,
market_wheat_sirsa_pa,ਹਰਿਆਣਾ ਦੀ ਸਿਰਸਾ ਮੰਡੀ ਵਿੱਚ ਗੈਂਹੂਂ ਦਾ ਭਾਅ ਕੀ ਹੈ?,"market,upload_question_to_reviewer_system","market,upload_question_to_reviewer_system",200,success,0.0,"ਹਰਿਆਣਾ ਦੀ ਸਿਰਸਾ ਮੰਡੀ ਵਿੱਚ ਗੈਂਹੂਂ ਦਾ ਭਾਅ ਕੀ ਹੈ?
ਮਾਹਰ: ਇਹ ਮੁਲਾਂਕਣ ਲਈ ਨਮੂਨਾ ਜਵਾਬ ਹੈ।",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,market,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,pa,Punjabi,Gurmukhi,market,market_wheat_sirsa,True,True,True,True,True,,,passed,no_action,
market_wheat_sirsa_te,హర్యానాలోని సిర్సా మార్కెట్‌లో గోధుమ ధర ఎంత?,"market,upload_question_to_reviewer_system","market,upload_question_to_reviewer_system",200,success,0.0,"హర్యానాలోని సిర్సా మార్కెట్‌లో గోధుమ ధర ఎంత?
నిపుణుడు: ఇది మూల్యాంకనం కోసం నమూనా సమాధానం.",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,market,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,te,Telugu,Telugu,market,market_wheat_sirsa,True,True,True,True,True,,,passed,no_action,
market_paddy_mandya_en,What is the price of paddy in Mandya mandi?,"market,upload_question_to_reviewer_system","market,upload_question_to_reviewer_system",200,success,0.0,"What is the price of paddy in Mandya mandi?
expert: This is a mock answer for evaluation.",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,market,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,en,English,Latin,market,market_paddy_mandya,True,True,True,True,True,,,passed,no_action,
market_paddy_mandya_hi,मांड्या मंडी में धान का भाव क्या है?,"market,upload_question_to_reviewer_system","market,upload_question_to_reviewer_system",200,success,0.0,"मांड्या मंडी में धान का भाव क्या है?
विशेषज्ञ: यह मूल्यांकन के लिए नमूना उत्तर है।",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,market,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,hi,Hindi,Devanagari,market,market_paddy_mandya,True,True,True,True,True,,,passed,no_action,
market_paddy_mandya_kn,ಮಂಡ್ಯ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಭತ್ತದ ಬೆಲೆ ಎಷ್ಟು?,"market,upload_question_to_reviewer_system","market,upload_question_to_reviewer_system",200,success,0.0,"ಮಂಡ್ಯ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಭತ್ತದ ಬೆಲೆ ಎಷ್ಟು?
ತಜ್ಞ: ಇದು ಮೌಲ್ಯಮಾಪನಕ್ಕಾಗಿ ಮಾದರಿ ಉತ್ತರವಾಗಿದೆ.",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,market,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,kn,Kannada,Kannada,market,market_paddy_mandya,True,True,True,True,True,,,passed,no_action,
market_paddy_mandya_ta,மண்ட்யா சந்தையில் நெல் விலை என்ன?,"market,upload_question_to_reviewer_system","market,upload_question_to_reviewer_system",200,success,0.0,"மண்ட்யா சந்தையில் நெல் விலை என்ன?
நிபுணர்: இது மதிப்பீட்டிற்கான மாதிரி பதில்.",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,market,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,ta,Tamil,Tamil,market,market_paddy_mandya,True,True,True,True,True,,,passed,no_action,
market_paddy_mandya_pa,ਮਾਂਡਿਆ ਮੰਡੀ ਵਿੱਚ ਝੋਨੇ ਦਾ ਭਾਅ ਕੀ ਹੈ?,"market,upload_question_to_reviewer_system","market,upload_question_to_reviewer_system",200,success,0.0,"ਮਾਂਡਿਆ ਮੰਡੀ ਵਿੱਚ ਝੋਨੇ ਦਾ ਭਾਅ ਕੀ ਹੈ?
ਮਾਹਰ: ਇਹ ਮੁਲਾਂਕਣ ਲਈ ਨਮੂਨਾ ਜਵਾਬ ਹੈ।",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,market,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,pa,Punjabi,Gurmukhi,market,market_paddy_mandya,True,True,True,True,True,,,passed,no_action,
market_paddy_mandya_te,మండ్య మార్కెట్‌లో వరి ధర ఎంత?,"market,upload_question_to_reviewer_system","market,upload_question_to_reviewer_system",200,success,0.0,"మండ్య మార్కెట్‌లో వరి ధర ఎంత?
నిపుణుడు: ఇది మూల్యాంకనం కోసం నమూనా సమాధానం.",,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,market,,{},{},True,,False,,,disabled,False,True,,False,True,True,True,False,True,True,True,2-hour disclaimer missing,te,Telugu,Telugu,market,market_paddy_mandya,True,True,True,True,True,,,passed,no_action,
soil_rice_fertilizer_en,"My soil test shows nitrogen 120, phosphorus 40, potassium 30 and OC 0.5%. What fertilizer dose should I use for rice?","upload_question_to_reviewer_system,gdb","upload_question_to_reviewer_system,gdb",200,success,0.0,"My soil test shows nitrogen 120, phosphorus 40, potassium 30 and OC 0.5%. What fertilizer dose should I use for rice?
expert: This is a mock answer for evaluation.",soil_rice_fertilizer,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,soil,,{},{},True,,False,,,disabled,True,False,GDB response missing source attribution,False,True,True,True,False,True,True,True,2-hour disclaimer missing,en,English,Latin,soil,soil_rice_fertilizer,True,True,True,True,True,,,passed,no_action,
soil_rice_fertilizer_hi,"मेरी मिट्टी जांच में नाइट्रोजन 120, फॉस्फोरस 40, पोटाश 30 और OC 0.5% है। धान के लिए कौन सी खाद मात्रा दूं?","upload_question_to_reviewer_system,gdb","upload_question_to_reviewer_system,gdb",200,success,0.0,"मेरी मिट्टी जांच में नाइट्रोजन 120, फॉस्फोरस 40, पोटाश 30 और OC 0.5% है। धान के लिए कौन सी खाद मात्रा दूं?
विशेषज्ञ: यह मूल्यांकन के लिए नमूना उत्तर है।",soil_rice_fertilizer,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,soil,,{},{},True,,False,,,disabled,True,False,GDB response missing source attribution,False,True,True,True,False,True,True,True,2-hour disclaimer missing,hi,Hindi,Devanagari,soil,soil_rice_fertilizer,True,True,True,True,True,,,passed,no_action,
soil_rice_fertilizer_kn,"ನನ್ನ ಮಣ್ಣಿನ ಪರೀಕ್ಷೆಯಲ್ಲಿ ನೈಟ್ರೋಜನ್ 120, ಫಾಸ್ಫರಸ್ 40, ಪೊಟಾಶಿಯಂ 30 ಮತ್ತು OC 0.5% ಇದೆ. ಅಕ್ಕಿಗೆ ಯಾವ ಗೊಬ್ಬರ ಪ್ರಮಾಣ ಬಳಸಬೇಕು?","upload_question_to_reviewer_system,gdb","upload_question_to_reviewer_system,gdb",200,success,0.0,"ನನ್ನ ಮಣ್ಣಿನ ಪರೀಕ್ಷೆಯಲ್ಲಿ ನೈಟ್ರೋಜನ್ 120, ಫಾಸ್ಫರಸ್ 40, ಪೊಟಾಶಿಯಂ 30 ಮತ್ತು OC 0.5% ಇದೆ. ಅಕ್ಕಿಗೆ ಯಾವ ಗೊಬ್ಬರ ಪ್ರಮಾಣ ಬಳಸಬೇಕು?
ತಜ್ಞ: ಇದು ಮೌಲ್ಯಮಾಪನಕ್ಕಾಗಿ ಮಾದರಿ ಉತ್ತರವಾಗಿದೆ.",soil_rice_fertilizer,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,soil,,{},{},True,,False,,,disabled,True,False,GDB response missing source attribution,False,True,True,True,False,True,True,True,2-hour disclaimer missing,kn,Kannada,Kannada,soil,soil_rice_fertilizer,True,True,True,True,True,,,passed,no_action,
soil_rice_fertilizer_ta,"என் மண் பரிசோதனையில் நைட்ரஜன் 120, பாஸ்பரஸ் 40, பொட்டாசியம் 30 மற்றும் OC 0.5% உள்ளது. நெற்கான உர அளவு என்ன?","upload_question_to_reviewer_system,gdb","upload_question_to_reviewer_system,gdb",200,success,0.0,"என் மண் பரிசோதனையில் நைட்ரஜன் 120, பாஸ்பரஸ் 40, பொட்டாசியம் 30 மற்றும் OC 0.5% உள்ளது. நெற்கான உர அளவு என்ன?
நிபுணர்: இது மதிப்பீட்டிற்கான மாதிரி பதில்.",soil_rice_fertilizer,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,soil,,{},{},True,,False,,,disabled,True,False,GDB response missing source attribution,False,True,True,True,False,True,True,True,2-hour disclaimer missing,ta,Tamil,Tamil,soil,soil_rice_fertilizer,True,True,True,True,True,,,passed,no_action,
soil_rice_fertilizer_pa,"ਮੇਰੀ ਮਿੱਟੀ ਜਾਂਚ ਵਿੱਚ ਨਾਈਟ੍ਰੋਜਨ 120, ਫਾਸਫੋਰਸ 40, ਪੋਟਾਸ਼ 30 ਅਤੇ OC 0.5% ਹੈ। ਝੋਨੇ ਲਈ ਕਿੰਨੀ ਖਾਦ ਪਾਵਾਂ?","upload_question_to_reviewer_system,gdb","upload_question_to_reviewer_system,gdb",200,success,0.0,"ਮੇਰੀ ਮਿੱਟੀ ਜਾਂਚ ਵਿੱਚ ਨਾਈਟ੍ਰੋਜਨ 120, ਫਾਸਫੋਰਸ 40, ਪੋਟਾਸ਼ 30 ਅਤੇ OC 0.5% ਹੈ। ਝੋਨੇ ਲਈ ਕਿੰਨੀ ਖਾਦ ਪਾਵਾਂ?
ਮਾਹਰ: ਇਹ ਮੁਲਾਂਕਣ ਲਈ ਨਮੂਨਾ ਜਵਾਬ ਹੈ।",soil_rice_fertilizer,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,soil,,{},{},True,,False,,,disabled,True,False,GDB response missing source attribution,False,True,True,True,False,True,True,True,2-hour disclaimer missing,pa,Punjabi,Gurmukhi,soil,soil_rice_fertilizer,True,True,True,True,True,,,passed,no_action,
soil_rice_fertilizer_te,"నా మట్టి పరీక్షలో నైట్రోజన్ 120, ఫాస్ఫరస్ 40, పొటాషియం 30 మరియు OC 0.5% ఉంది. వరికి ఎంత ఎరువు వేయాలి?","upload_question_to_reviewer_system,gdb","upload_question_to_reviewer_system,gdb",200,success,0.0,"నా మట్టి పరీక్షలో నైట్రోజన్ 120, ఫాస్ఫరస్ 40, పొటాషియం 30 మరియు OC 0.5% ఉంది. వరికి ఎంత ఎరువు వేయాలి?
నిపుణుడు: ఇది మూల్యాంకనం కోసం నమూనా సమాధానం.",soil_rice_fertilizer,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,soil,,{},{},True,,False,,,disabled,True,False,GDB response missing source attribution,False,True,True,True,False,True,True,True,2-hour disclaimer missing,te,Telugu,Telugu,soil,soil_rice_fertilizer,True,True,True,True,True,,,passed,no_action,
soil_wheat_low_nitrogen_en,My wheat field has low nitrogen in the soil test. What should I apply?,"upload_question_to_reviewer_system,gdb","upload_question_to_reviewer_system,gdb",200,success,0.0,"My wheat field has low nitrogen in the soil test. What should I apply?
expert: This is a mock answer for evaluation.",soil_wheat_low_nitrogen,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,soil,,{},{},True,,False,,,disabled,True,False,GDB response missing source attribution,False,True,True,True,False,True,True,True,2-hour disclaimer missing,en,English,Latin,soil,soil_wheat_low_nitrogen,True,True,True,True,True,,,passed,no_action,
soil_wheat_low_nitrogen_hi,मेरे गेहूं के खेत की मिट्टी जांच में नाइट्रोजन कम है। मुझे क्या डालना चाहिए?,"upload_question_to_reviewer_system,gdb","upload_question_to_reviewer_system,gdb",200,success,0.0,"मेरे गेहूं के खेत की मिट्टी जांच में नाइट्रोजन कम है। मुझे क्या डालना चाहिए?
विशेषज्ञ: यह मूल्यांकन के लिए नमूना उत्तर है।",soil_wheat_low_nitrogen,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,soil,,{},{},True,,False,,,disabled,True,False,GDB response missing source attribution,False,True,True,True,False,True,True,True,2-hour disclaimer missing,hi,Hindi,Devanagari,soil,soil_wheat_low_nitrogen,True,True,True,True,True,,,passed,no_action,
soil_wheat_low_nitrogen_kn,ನನ್ನ ಗೋಧಿ ಹೊಲದ ಮಣ್ಣಿನ ಪರೀಕ್ಷೆಯಲ್ಲಿ ನೈಟ್ರೋಜನ್ ಕಡಿಮೆ ಇದೆ. ನಾನು ಏನು ಹಾಕಬೇಕು?,"upload_question_to_reviewer_system,gdb","upload_question_to_reviewer_system,gdb",200,success,0.0,"ನನ್ನ ಗೋಧಿ ಹೊಲದ ಮಣ್ಣಿನ ಪರೀಕ್ಷೆಯಲ್ಲಿ ನೈಟ್ರೋಜನ್ ಕಡಿಮೆ ಇದೆ. ನಾನು ಏನು ಹಾಕಬೇಕು?
ತಜ್ಞ: ಇದು ಮೌಲ್ಯಮಾಪನಕ್ಕಾಗಿ ಮಾದರಿ ಉತ್ತರವಾಗಿದೆ.",soil_wheat_low_nitrogen,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,soil,,{},{},True,,False,,,disabled,True,False,GDB response missing source attribution,False,True,True,True,False,True,True,True,2-hour disclaimer missing,kn,Kannada,Kannada,soil,soil_wheat_low_nitrogen,True,True,True,True,True,,,passed,no_action,
soil_wheat_low_nitrogen_ta,என் கோதுமை வயல் மண் பரிசோதனையில் நைட்ரஜன் குறைவாக உள்ளது. என்ன இட வேண்டும்?,"upload_question_to_reviewer_system,gdb","upload_question_to_reviewer_system,gdb",200,success,0.0,"என் கோதுமை வயல் மண் பரிசோதனையில் நைட்ரஜன் குறைவாக உள்ளது. என்ன இட வேண்டும்?
நிபுணர்: இது மதிப்பீட்டிற்கான மாதிரி பதில்.",soil_wheat_low_nitrogen,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,soil,,{},{},True,,False,,,disabled,True,False,GDB response missing source attribution,False,True,True,True,False,True,True,True,2-hour disclaimer missing,ta,Tamil,Tamil,soil,soil_wheat_low_nitrogen,True,True,True,True,True,,,passed,no_action,
soil_wheat_low_nitrogen_pa,ਮੇਰੇ ਗੈਂਹੂਂ ਦੇ ਖੇਤ ਦੀ ਮਿੱਟੀ ਜਾਂਚ ਵਿੱਚ ਨਾਈਟ੍ਰੋਜਨ ਘੱਟ ਹੈ। ਮੈਂ ਕੀ ਪਾਵਾਂ?,"upload_question_to_reviewer_system,gdb","upload_question_to_reviewer_system,gdb",200,success,0.0,"ਮੇਰੇ ਗੈਂਹੂਂ ਦੇ ਖੇਤ ਦੀ ਮਿੱਟੀ ਜਾਂਚ ਵਿੱਚ ਨਾਈਟ੍ਰੋਜਨ ਘੱਟ ਹੈ। ਮੈਂ ਕੀ ਪਾਵਾਂ?
ਮਾਹਰ: ਇਹ ਮੁਲਾਂਕਣ ਲਈ ਨਮੂਨਾ ਜਵਾਬ ਹੈ।",soil_wheat_low_nitrogen,,True,True,True,,False,,not_checked,True,node validation disabled because trace node capture is unreliable,soil,,{},{},True,,False,,,disabled,True,False,GDB response missing source attribution,False,True,True,True,False,True,True,True,2-hour disclaimer missing,pa,Punjabi,Gurmukhi,soil,soil_wheat_low_nitrogen,True,True,True,True,True,,,passed,no_action,
