"KVK ID","KVK Name","KVK Address","State Name","State LGD Code","District Name","District Name New","District LGD Code","Web Address","Landline Number","Fax Number","Email ID","Pin Code","ATARI Name","Host Institute","Latitude","Longitude"
"K0014","Rewari","Krishi Vigyan Kendra,Shri Bhagwat Bhakti Ashram,Rampura,Rewari (HARYANA) ","Haryana","=""6""","Rewari","Rewari","72","http://www.kvkrewari.org","01274-222475","01274-222475","bbakvkrr@gmail.com","123401","ICAR-ATARI  Zone-II Jodhpur","Bhagwat Bhakti Ashram, Rampura , Bhagwat Bhakti Ashram, Rampura, Rewari -123 401","28.182507","76.603318"
"K0015","Rohtak","KVK- Rohtak,  Rohtak Haryana","Haryana","=""6""","Rohtak","Rohtak","73","https://www.hau.ac.in/college/krishi-vigyan-kendra-rohtak","01262-274257","01262-274257","kvkrohtaksc2@gmail.com","124001","ICAR-ATARI  Zone-II Jodhpur","CCSHAU , Hisar","28.883316","76.621015"
"K0016","Sirsa","KRISHI VIGYAN KENDRA, NEAR OLD TEHSIL ROAD, SIRSA","Haryana","=""6""","Sirsa","Sirsa","74","http://hau.ac.in/kvk/index.php?sli_id=306&page_id=306&kvk_id=16","NA","NA","sckvksirsa@gmail.com","125055","ICAR-ATARI  Zone-II Jodhpur","CCSHAU , Hisar","29.538753","75.041969"
"K0017","Sonipat","Krishi Vigyan Kendra,Post Box-28,Sonipat, Haryana","Haryana","=""6""","Sonipat","Sonipat","75","NA","0130-2325274","NA","sckvksonipat@gmail.com","131001","ICAR-ATARI  Zone-II Jodhpur","CCSHAU , Hisar","28.95115","77.043725"
"K0018","Yamunanagar","KRISHI VIGYAN KENDRA, DAMLA, YAMUNANAGAR (HARYANA)","Haryana","=""6""","Yamunanagar","Yamunanagar","76","NA","01732-282737","NA","sckvkynagar@hau.ac.in","135001","ICAR-ATARI  Zone-II Jodhpur","CCSHAU , Hisar","30.088628","77.2118"
"K0019","Karnal","Krishi Vigyan Kendra, ICAR-National Dairy Research Institute, Karnal","Haryana","=""6""","Karnal","Karnal","67","http://ndri.res.in","0184-2259339","0184 2250042","kvkkarnal@gmail.com","132001","ICAR-ATARI  Zone-II Jodhpur","ICAR National Dairy Research Institute , Karnal","29.700168","76.971824"
"K0020","Bilaspur HP","CSK HPKV Krishi Vigyan Kendra & Research Sub Station,  BERTHIN","Himachal Pradesh","=""2""","Bilaspur","Bilaspur","15","http://hillagric.ac.in/extension/dee-extra/KrishiVigyanKendras/kvk_berthin/kvk_berthin_(bilaspur).htm","01978-293153","01978-266046","kvkbilaspurhp@gmail.com","174029","ICAR-ATARI  Zone-I Ludhiana","CSKHPKV , Palampur","31.415543","76.649471"
"K0021","Chamba","Saru at Chamba","Himachal Pradesh","=""2""","Chamba","Chamba","16","http://www.yspuniversity.ac.in/kvk-chamba/index.html","1899232219","1899232144","kvkchamba@yahoo.in","176310","ICAR-ATARI  Zone-I Ludhiana","YSPUH&F , Solan","32.603839","76.081251"
"K0022","Hamirpur","KVK Hamirpur at Bara","Himachal Pradesh","=""2""","Hamirpur","Hamirpur","17","http://www.hillagric.ac.in/extension/dee-extra/KrishiVigyanKendras/kvk_bara/index.htm","1972238130","1972-  238130","kvkhmr@gmail.com","177044","ICAR-ATARI  Zone-I Ludhiana","CSKHPKV , Palampur","31.480899","76.576413"
"K0023","Kangra","Krishi Vigyan Kendra, Doonga Bazar, Kangra, Distt. Kangra","Himachal Pradesh","=""2""","Kangra","Kangra","18","http://www.hillagric.ac.in/extension/dee-extra/KrishiVigyanKendras/kvk_kangra/index.html","01892-264550","1892 264550","kvkkangra@gmail.com","176001","ICAR-ATARI  Zone-I Ludhiana","CSKHPKV , Palampur","32.104725","76.268973"
"K0024","Kinnaur","District  Kinnaur (HP) India","Himachal Pradesh","=""2""","Kinnaur","Kinnaur","19","http://www.yspuniversity.ac.in/kvk-kinnaur/index.html","1786222231","1786 222231","kvkkinnaur1995@gmail.com","172107","ICAR-ATARI  Zone-I Ludhiana","YSPUH&F , Solan","31.538088","78.267347"
"K0025","Kullu","Krishi Vigyan Kendra, Bajaura,Distt Kullu, Himachal Pradesh","Himachal Pradesh","=""2""","Kullu","Kullu","20","http://hillagric.ac.in:1003/cskhpau/kvk-kullu/","1905287318","01905-287318","kvkkullu@gmail.com","175125","ICAR-ATARI  Zone-I Ludhiana","CSKHPKV , Palampur","31.834882","77.170831"
"K0026","Lahaul & Spiti 1","Krishi Vigyan Kendra, Lahaul & Spiti -1, KUKUMSERI","Himachal Pradesh","=""2""","Lahul & Spiti","Lahaul And Spiti","21","http://www.hillagric.ac.in/extension/dee-extra/KrishiVigyanKendras/kvk_kukumseri/index.htm","NA","NA","pckvkls@gmail.com","175142","ICAR-ATARI  Zone-I Ludhiana","CSKHPKV , Palampur","32.700572","76.688164"
"K0027","Mandi","Krishi Vigyan Kendra Mandi at Sundernagar,District Mandi Himachal Pradesh, India ","Himachal Pradesh","=""2""","Mandi","Mandi","22","http://hillagric.ac.in/extension/dee-extra/KrishiVigyanKendras/kvk_mandi/index.htm","01907 262547","1907 262547","kvkmandihp@rediffmail.com","175019","ICAR-ATARI  Zone-I Ludhiana","CSKHPKV , Palampur","31.538406","76.896336"
"K0028","Shimla","Krishi Vigyan Kendra, Rohru, District - Shimla, Himachal Pradesh, India","Himachal Pradesh","=""2""","Shimla","Shimla","23","http://www.yspuniversity.ac.in/kvk-rohru/index.htm","1781240365","1781240365","kvkshimla@gmail.com","171207","ICAR-ATARI  Zone-I Ludhiana","YSPUH&F , Solan","31.204553","77.752361"
"K0029","Sirmaur","CSKHPKV, KVK, Dhaulakuan, Distt. Sirmaur (HP) India","Himachal Pradesh","=""2""","Sirmaur","Sirmaur","24","http://www.hillagric.ac.in/extension/dee-extra/KrishiVigyanKendras/kvk_dhaulakuan/index.htm","01704-257462","01704-257462","kvksirmour@gmail.com","173031","ICAR-ATARI  Zone-I Ludhiana","CSKHPKV , Palampur","30.500973","77.472029"
"K0030","Solan","Kandaghat, District - Solan, Himachal Pradesh, India","Himachal Pradesh","=""2""","Solan","Solan","25","http://www.yspuniversity.ac.in/kvk/kandaghat/index.html/","01792-256232","1792-256232","kvkkghat@rediffmail.com","173215","ICAR-ATARI  Zone-I Ludhiana","YSPUH&F , Solan","30.955598","77.113139"
"K0031","Una","Krishi Vigyan Kendra, Rampur, Una","Himachal Pradesh","=""2""","Una","Una","26","http://www.hillagric.ac.in/extension/dee-extra/KrishiVigyanKendras/kvk_una/index.htm","NA","01975-225003","pckvkuna@gmail.com","174303","ICAR-ATARI  Zone-I Ludhiana","CSKHPKV , Palampur","31.445953","76.274826"
"K0032","Anantnag","Krishi Vigyan Kendra, Vill.- Kreri & Nowpora, Tehsil- Dooru, Distt. – Anantnag","Jammu and Kashmir","=""1""","Anantnag","Anantnag","1","http://www.kvkanantnag.net","0124-2764907","NA","anantnagkvk@gmail.com","192211","ICAR-ATARI  Zone-I Ludhiana","SKUAST , Shrinagar","33.605603","75.187004"
"K0033","Baramulla","Baramulla (J&K)","Jammu and Kashmir","=""1""","Baramula","Baramulla","3","http://kvkbaramulla.org.in/","01954-255060","NA","kvkbaramulla@gmail.com","193404","ICAR-ATARI  Zone-I Ludhiana","Central Institute of Temperate Horticuslture , K D Farm, Old Air Field, Post Office: Rangreth,Srinagar (J&K)","34.064231","74.538651"
"K0034","Bandipore","Krishi Vigyan Kendra Bandipora-1, Potushai,Distt. Bandipora","Jammu and Kashmir","=""1""","Bandipore","Bandipora","623","http://www.kvkbandipora.in","NA","NA","pckvkbandipora@gmail.com","193502","ICAR-ATARI  Zone-I Ludhiana","SKUAST , Shrinagar","34.393123","74.827318"
"K0035","Budgam","KVK Budgam,Haran Distt.- Budgam (Jammu and Kashmir)","Jammu and Kashmir","=""1""","Badgam","Budgam","2","http://kvkbudgam.org","NA","NA","pckvkbudgam@gmail.com","191111","ICAR-ATARI  Zone-I Ludhiana","SKUAST , Shrinagar","34.01893","74.798451"
"K0036","Leh 2 (Ladakh)","Nyoma, Changthang, Leh, Ladakh","Ladakh","=""37""","Leh(Ladakh)","Leh Ladakh","9","NA","1981222066","NA","kvknyoma@gmail.com","194404","ICAR-ATARI  Zone-I Ludhiana","SKUAST , Shrinagar","33.206439","78.649557"
"K0037","Doda","Krishi Vigyan Kendra,Gwari, Bhaderwah,Distt. Doda","Jammu and Kashmir","=""1""","Doda","Doda","4","http://kvkdoda.nic.in/index.html","0124-2764907","NA","kvkdoda@gmail.com","182221","ICAR-ATARI  Zone-I Ludhiana","SKUAST , Jammu ","32.981285","75.709759"
"K0038","Ganderbal","Krishi Vigyan Kendra, Shuhama Alusteng, Ganderbal","Jammu and Kashmir","=""1""","Ganderbal","Ganderbal","626","http://www.kvkganderbal.org","0194-2262490","0194-2262490","kvkganderbal@gmail.com","190006","ICAR-ATARI  Zone-I Ludhiana","SKUAST , Shrinagar","34.225817","74.775583"
"K0039","Jammu","Krishi Vigyan Kendra, SKUASTJ, R.S. Pura","Jammu and Kashmir","=""1""","Jammu","Jammu","5","http://www.kvkjammu.org","01923-252929","01923-252929","kvkjammu@gmail.com","181102","ICAR-ATARI  Zone-I Ludhiana","SKUAST , Jammu ","32.604899","74.731531"
"K0040","Kargil 1","Krishi Vigyan Kendra,SKUAST (K),Distt. Kargil","Ladakh","=""37""","Kargil","Kargil","6","NA","1985233585","NA","kvkkargil@gmail.com","194103","ICAR-ATARI  Zone-I Ludhiana","SKUAST , Shrinagar","34.565689","76.115287"
"K0041","Kathua","Krishi Vigyan Kendra, Rajhani Kathua","Jammu and Kashmir","=""1""","Kathua","Kathua","7","https://kvkkathua.ac.in/","01922-232989","01922-232989","kathuakvk@gmail.com","184101","ICAR-ATARI  Zone-I Ludhiana","SKUAST , Jammu ","32.397785","75.510928"
"K0042","Kulgam","Krishi Vigyan Kendra, Kulgam (Pombay), P/O Gopalpora ,Distt. Kulgam","Jammu and Kashmir","=""1""","Kulgam","Kulgam","622","NA","01931-294045","NA","kvkkulgam@gmail.com","192233","ICAR-ATARI  Zone-I Ludhiana","SKUAST , Shrinagar","33.644744","74.943893"
"K0043","Kupwara","Krishi Vigyan Kendra, Regipora Kupwara, Distt. Kupwara","Jammu and Kashmir","=""1""","Kupwara","Kupwara","8","http://kvkkupwara.com","NA","NA","pc.kvk.kupwara@gmail.com","193222","ICAR-ATARI  Zone-I Ludhiana","SKUAST , Shrinagar","34.351166","74.399156"
"K0044","Leh 1 (Ladakh)","Krishi Vigyan Kendra Leh SKUAST-K Stakna ","Ladakh","=""37""","Leh(Ladakh)","Leh Ladakh","9","http://www.kvkleh.com","01982-252308","NA","kvkleh@gmail.com","194101","ICAR-ATARI  Zone-I Ludhiana","SKUAST , Shrinagar","34.145853","77.583735"
"K0045","Poonch","Kirshi Vigyan Kendra,Qazi Morah, Poonch","Jammu and Kashmir","=""1""","Punch","Poonch","10","http://www.kvkpoonch.nic.in/","01965-221796","01965-221796","kvkpoonch@gmail.com","185101","ICAR-ATARI  Zone-I Ludhiana","SKUAST , Jammu ","33.766988","74.092468"
"K0046","Pulwama","Krishi Vigyan Kendra,Malangpura,PB. No. 1228,GPO Srinagar,Distt. Pulwama","Jammu and Kashmir","=""1""","Pulwama","Pulwama","11","www.kvkmalangpora.com","01933-286952","01933-286952","pcpulwama@gmail.com","192121","ICAR-ATARI  Zone-I Ludhiana","SKUAST , Shrinagar","33.891804","74.981108"
"K0047","Rajouri","Krishi Vigyan Kendra,SKUAST-J,VPO. Tandwal,Distt. Rajouri","Jammu and Kashmir","=""1""","Rajouri","Rajouri","12","http://www.kvkrajouri.nic.in","NA","NA","kvkrajouri@gmail.com","185131","ICAR-ATARI  Zone-I Ludhiana","SKUAST , Jammu ","33.353381","74.297061"
"K0048","Reasi","Krishi Vigyan Kendra,Vill. Tanda Dera Baba Bahadur Singh,The. Reasi,Distt. Udhampur","Jammu and Kashmir","=""1""","Udhampur","Udhampur","14","kvkreasi.nic.in","NA","NA","kvkreasi@gmail.com","182301","ICAR-ATARI  Zone-I Ludhiana","SKUAST , Jammu ","33.100219","74.799525"
"K0049","Srinagar","Krishi Vigyan Kendra,Nambili Narkura, P.Box No.91, GPO Srinagar,Distt. Srinagar","Jammu and Kashmir","=""1""","Srinagar","Srinagar","13","http://www.kvksrinagar.org/","NA","NA","kvksrinagar786@gmail.com","191111","ICAR-ATARI  Zone-I Ludhiana","SKUAST , Shrinagar","34.018903","74.798453"
"K0050","Shopian","Krishi Vigyan Kendra,Vill. Balpora,Shopian Distt","Jammu and Kashmir","=""1""","Shupiyan","Shopian","625","http://www.kvkshopian.net/","NA","NA","pckvkshopian@gmail.com","192302","ICAR-ATARI  Zone-I Ludhiana","SKUAST , Shrinagar","33.75418","74.842121"
"K0051","Amritsar ","Krishi Vigyan Kendra,NagKalan-Jahangir, Majitha Road, Amritsar","Punjab","=""3""","Amritsar ","Amritsar","27","http://www.kvkamritsar.in","NA","NA","kvkasr@pau.edu","143601","ICAR-ATARI  Zone-I Ludhiana","PAU , Ludhiana","31.707344","74.93927"
"K0052","Bathinda","Krishi Vigyan Kendra,Dabwali Road, Near Kheti Bhawan,Distt. Bathinda","Punjab","=""3""","Bathinda","Bathinda","28","http://www.kvkbathinda.com/","0164-22156319","NA","kvkbtd@pau.edu","151001","ICAR-ATARI  Zone-I Ludhiana","PAU , Ludhiana","30.179149","74.933573"
"K0053","Barnala","Krishi Vigyan Kendra,Handiaya, District- Barnala","Punjab","=""3""","Barnala","Barnala","605","http://www.kvkbarnala.org","NA","0161-2553363","kvkbarnala@gmail.com","148107","ICAR-ATARI  Zone-I Ludhiana","GADVASU , Ludhiana","30.317326","75.491166"
"K0054","Faridkot","Krishi Vigyan Kendra,Circular Road, Faridkot, Punjab","Punjab","=""3""","Faridkot","Faridkot","29","http://www.kvkfaridkot.com","0124-2764907","NA","kvk-faridkot@pau.edu","151203","ICAR-ATARI  Zone-I Ludhiana","PAU , Ludhiana","30.678187","74.739559"
"K0055","Fatehgarh Sahib","Krishi Vigyan Kendra,Shamsher Nagar, Sirhind,Distt. Fatehgarh Sahib","Punjab","=""3""","Fatehgarh Sahib","Fatehgarh Sahib","30","http://www.kvkfatehgarhsahib.co.in/","01763-221217","01763-221217","kvkfgs@pau.edu","140406","ICAR-ATARI  Zone-I Ludhiana","PAU , Ludhiana","30.622831","76.405903"
"K0056","Ferozepur","Krishi Vigyan Kendra,Mallewal Road,Distt. Ferozepur","Punjab","=""3""","Firozpur","Ferozepur","31","http://www.kvkferozepur.com","1632279517","NA","kvkfzr@pau.edu","152001","ICAR-ATARI  Zone-I Ludhiana","PAU , Ludhiana","30.910411","74.66332"
"K0057","Gurdaspur","Krishi Vigyan Kendra,PAU Research Station,Distt. Gurdaspur","Punjab","=""3""","Gurdaspur","Gurdaspur","32","http://www.kvkgurdaspur.com","01874-220743","NA","kvk-gurdaspur@pau.edu","143521","ICAR-ATARI  Zone-I Ludhiana","PAU , Ludhiana","32.049334","75.422602"
"K0058","Hoshiarpur","VPO Bahowal, Block Mahilpur, Tehsil Garhshankar (Hoshiarpur), PIN","Punjab","=""3""","Hoshiarpur","Hoshiarpur","33","http://www.kvkhoshiarpur.com/","NA","NA","kvk-hsp@pau.edu","146105","ICAR-ATARI  Zone-I Ludhiana","PAU , Ludhiana","31.387975","76.024322"
"K0059","Jalandhar","Krishi Vigyan Kendra (KVK), Jalandhar,Uppal Jagir, Noor Mahal, Distt. Jalandhar","Punjab","=""3""","Jalandhar","Jalandhar","34","http://www.kvkjalandhar.co.in","01826-243288","NA","kvk-jalandhar@pau.edu","144039","ICAR-ATARI  Zone-I Ludhiana","PAU , Ludhiana","31.095207","75.582645"
"K0060","Kapurthala ","Krishi Vigyan Kendra,J.J. Farm, Near New Grain Market,Sultanpur Road, PO. Sheikhupur,Distt. Kapurthala","Punjab","=""3""","Kapurthala ","Kapurthala","35","http://www.kvkkapurthala.com","NA","NA","kvk-kapurthala@pau.edu","144620","ICAR-ATARI  Zone-I Ludhiana","PAU , Ludhiana","31.362275","75.364516"
"K0061","Ludhiana","Krishi Vigyan Kendra,Samrala,Distt. Ludhiana","Punjab","=""3""","Ludhiana","Ludhiana","36","http://kvkludhiana.com","01628-261597","NA","kvk-ludhiana@pau.edu","141114","ICAR-ATARI  Zone-I Ludhiana","PAU , Ludhiana","30.92277","75.348358"
"K0062","Mansa","Krishi Vigyan Kendra, Khokhar Khurd, Distt. Mansa","Punjab","=""3""","Mansa","Mansa","37","www.kvk-mansa.com","01652-280843","NA","kvk-mansa@pau.edu","151505","ICAR-ATARI  Zone-I Ludhiana","PAU , Ludhiana","30.004147","75.342232"
"K0063","Moga","Krishi Vigyan Kendra,VPO. Budh Singh Wala,Distt. Moga","Punjab","=""3""","Moga","Moga","38","http://www.kvkmoga.com","NA","NA","kvk-moga@pau.edu","142002","ICAR-ATARI  Zone-I Ludhiana","PAU , Ludhiana","30.65565","75.108029"
"K0064","Sahibzada Ajit Singh Nagar","Krishi Vigyan Kendra, Majra, Sahibzada Ajit Singh Nagar (Mohali)","Punjab","=""3""","Sahibzada Ajit Singh Nagar","S.A.S Nagar","608","http://www.kvkmohali.org","0160-2642827","0160-2642827","kvkmohali@gmail.com","140103","ICAR-ATARI  Zone-I Ludhiana","GADVASU , Ludhiana","30.673254","76.689436"
"K0065","Muktsar","Krishi Vigyan Kendra,Goneana,Distt. Muktsar","Punjab","=""3""","Muktsar","Sri Muktsar Sahib","39","http://www.kvkmuktsar.com","NA","NA","kvkmuktsar@pau.edu","152026","ICAR-ATARI  Zone-I Ludhiana","PAU , Ludhiana","30.446098","74.508022"
"K0066","Shahid Bhagat Singh Nagar ","Krishi Vigyan Kendra,VPO Langroya,Distt. Nawanshahar","Punjab","=""3""","Shahid Bhagat Singh Nagar ","Shahid Bhagat Singh Nagar","40","http://www.kvknawanshahr.com","01823-292314","NA","kvknsr@pau.edu","144516","ICAR-ATARI  Zone-I Ludhiana","PAU , Ludhiana","31.108139","76.173363"
"K0067","Patiala","Krishi Vigyan Kendra,Post Box No.22,Distt. Patiala","Punjab","=""3""","Patiala","Patiala","41","www.kvkpatiala.com","1752225473","NA","kvk-patiala@pau.edu","147001","ICAR-ATARI  Zone-I Ludhiana","PAU , Ludhiana","30.349056","76.319543"
"K0068","Rupnagar","Krishi Vigyan Kendra, Haveli Kalan, Rupnagar","Punjab","=""3""","Rupnagar","Rupnagar","42","http://www.kvkropar.com","01881-292248","NA","kvk-ropar@pau.edu","140001","ICAR-ATARI  Zone-I Ludhiana","PAU , Ludhiana","30.97913","76.51975"
"K0069","Sangrur","Krishi Vigyan Kendra,Kheri, Patran Road, Sangrur","Punjab","=""3""","Sangrur","Sangrur","43","http://kvksangrur.com","01672-245320","NA","kvksangrur@gmail.com","148001","ICAR-ATARI  Zone-I Ludhiana","PAU , Ludhiana","30.18646","75.878749"
"K0070","Tarn Taran","Krishi Vigyan Kendra,Booh (Harike Pattan),Tarn Taran","Punjab","=""3""","Tarn Taran","Tarn Taran","609","http://www.kvktarntaran.org/","1851238700","NA","ddtkvktarntaran@gmail.com","143412","ICAR-ATARI  Zone-I Ludhiana","GADVASU , Ludhiana","31.179574","74.903339"
"K0071","North & Middle Andaman","ICAR-Krishi Vigyan Kendra, Nimbudera, Mayabunder Tehsil, North and Middle Andman District","Andaman And Nicobar Islands","=""35""","North  & Middle Andaman","North And Middle Andaman","632","https://ciari.icar.gov.in/KVK_NM.html","3192216100","03192-216100","nimbuderakvk@gmail.com","744201","ICAR-ATARI  Zone-V Kolkata","ICAR CARI ,  P.B. No. 181 Port Blair, A&N Islands ","12.722735","92.883654"
"K0073","South Andaman","Krishi Vigyan Kendra, Sippighat , Port Blair","Andaman And Nicobar Islands","=""35""","South Andaman","South Andamans","602","https://ciari.icar.gov.in/","03192-212271","NA","kvkciari@gmail.com","744105","ICAR-ATARI  Zone-V Kolkata","ICAR CARI ,  P.B. No. 181 Port Blair, A&N Islands ","11.606019","92.705843"
"K0074","Gaya 1","Krishi Vigyan Kendra,Manpur, P.O. Buniyadganj, Distt. Gaya","Bihar","=""10""","Gaya","Gaya","196","http://www.gayakvk.org","0124-2764907","0612-2223956","kvkmanpurgaya@gmail.com","823003","ICAR-ATARI  Zone-IV Patna","Bihar Agricultural University , Bhagalpur, Bihar","24.799078","85.039698"
"K0075","Sheohar","Krishi Vigyan Kendra,Block Road,Distt. Sheohar","Bihar","=""10""","Sheohar","Sheohar","220","NA","NA","NA","sheoharkvk9@gmail.com","843329","ICAR-ATARI  Zone-IV Patna","Dr. Rajendra Prasad Central Agriculture University , Pusa, Samastipur, Bihar","26.514069","85.297161"
"K0076","Lakhisarai","Halsi, Lakhisarai","Bihar","=""10""","Lakhisarai","Lakhisarai","204","https://lakhisarai.kvk4.in/","NA","NA","lakhisaraikvk@gmail.com","811318","ICAR-ATARI  Zone-IV Patna","Bihar Agricultural University , Bhagalpur, Bihar","25.026005","86.041926"
"K0077","East Champaran 1","Krishi Vigyan Kendra,Pipra Kothi,Distt. East Champaran","Bihar","=""10""","Purba Champaran","Purbi Champaran","213","http://eastchamparan.kvk4.in","NA","NA","head.kvk.piprakothi@rpcau.ac.in","845429","ICAR-ATARI  Zone-IV Patna","Dr. Rajendra Prasad Central Agriculture University , Pusa, Samastipur, Bihar","26.547483","84.937161"
"K0078","Gopalganj","Krishi Vigyan Kendra,Distt. Gopalganj","Bihar","=""10""","Gopalganj","Gopalganj","197","goplaganj.kvk4.in","NA","NA","head.kvk.sipaya@rpcau.ac.in","841501","ICAR-ATARI  Zone-IV Patna","Dr. Rajendra Prasad Central Agriculture University , Pusa, Samastipur, Bihar","26.582276","84.403488"
"K0079","Bhagalpur","Krishi Vigyan Kendra, Sabour","Bihar","=""10""","Bhagalpur","Bhagalpur","192","https://bhagalpur.kvk4.in","641-2451186","NA","bhagalpurkvk@gmail.com","813210","ICAR-ATARI  Zone-IV Patna","Bihar Agricultural University , Bhagalpur, Bihar","25.236356","87.045622"
"K0080","Rohtas","Krishi Vigyan Kendra, Rohtas, Ara Road, Bikramganj","Bihar","=""10""","Rohtas","Rohtas","215","http://www.rohtas.kvk4.in","06185-222800","NA","rohtaskvk@gmail.com","802212","ICAR-ATARI  Zone-IV Patna","Bihar Agricultural University , Bhagalpur, Bihar","25.224032","84.266582"
"K0081","Araria","Krishi Vigyan Kendra, Araria ","Bihar","=""10""","Araria","Araria","188","http://www.arariakvk.org","0124-2764907","NA","arariakvk@gmail.com","854311","ICAR-ATARI  Zone-IV Patna","Bihar Agricultural University , Bhagalpur, Bihar","26.118401","87.449288"
"K0082","Purnea","Krishi Vigyan Kendra,Jalalgarh,Distt. Purnea","Bihar","=""10""","Purnia","Purnia","214","https://purnea.kvk4.in/index.php","NA","NA","purneakvk@gmail.com","854327","ICAR-ATARI  Zone-IV Patna","Bihar Agricultural University , Bhagalpur, Bihar","25.944337","87.534826"
"K0083","Katihar","Krishi Vigyan Kendra,PO.Tingachhiya Distt. Katihar","Bihar","=""10""","Katihar","Katihar","201","http://katihar.kvk4.in ","NA","NA","katiharkvk@gmail.com","854103","ICAR-ATARI  Zone-IV Patna","Bihar Agricultural University , Bhagalpur, Bihar","25.528199","87.576608"
